Taxa1,Taxa2,Habit
Fowlea_yunnanensis,Thamnophis_couchii,Aquatic
Fowlea_yunnanensis,Thamnophis_rufipunctatus,Aquatic
Fowlea_yunnanensis,Thamnophis_sumichrasti,Aquatic
Fowlea_yunnanensis,Thamnophis_validus,Aquatic
Fowlea_yunnanensis,Trimerodytes_aequifasciata,Aquatic
Fowlea_yunnanensis,Trimerodytes_annularis,Aquatic
Fowlea_yunnanensis,Trimerodytes_percarinata,Aquatic
Fowlea_yunnanensis,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_yunnanensis,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_yunnanensis,Xenochrophis_vittatus,Aquatic
Helophis_schoutedeni,Liodytes_alleni,Aquatic
Helophis_schoutedeni,Liodytes_pygaea,Aquatic
Helophis_schoutedeni,Liodytes_rigida,Aquatic
Helophis_schoutedeni,Natrix_tessellata_3,Aquatic
Helophis_schoutedeni,Nerodia_clarkii,Aquatic
Helophis_schoutedeni,Nerodia_cyclopion,Aquatic
Helophis_schoutedeni,Nerodia_erythrogaster,Aquatic
Helophis_schoutedeni,Nerodia_fasciata,Aquatic
Helophis_schoutedeni,Nerodia_floridana,Aquatic
Helophis_schoutedeni,Nerodia_harteri,Aquatic
Helophis_schoutedeni,Nerodia_paucimaculata,Aquatic
Helophis_schoutedeni,Nerodia_rhombifer,Aquatic
Helophis_schoutedeni,Nerodia_sipedon,Aquatic
Helophis_schoutedeni,Nerodia_taxispilota,Aquatic
Helophis_schoutedeni,Paratapinophis_praemaxillaris,Aquatic
Helophis_schoutedeni,Regina_grahami,Aquatic
Helophis_schoutedeni,Regina_septemvittata,Aquatic
Helophis_schoutedeni,Thamnophis_couchii,Aquatic
Helophis_schoutedeni,Thamnophis_rufipunctatus,Aquatic
